STT;Name;English Name;image;Calories;Chất đạm;Chất béo;Carbohydrate;Vitamin A;Potassium;MUFA+PUFA;Canxi;Sắt;Kẽm;Natri;Cholesterol;Magie;Beta-caroten;Vitamin C;Sodium;Transfat
95;Cơm bình dân 35k;(Affordable set rice meal 35k);https://viendinhduong.vn/storage/app/uploads/public/2025/11/06/screenshot_4.webp;595.9;32.0;14.7;83.9;119.8;;;180.5;5.2;3.8;766.8;36.5;57.8;1268.9;12.4;;
96;Bún sườn mọc;(Pork rib and meatball noodle soup);https://viendinhduong.vn/storage/app/uploads/public/2025/11/06/screenshot_3.webp;510.2;25.1;14.5;69.8;47.4;;;97.8;3.0;3.2;826.2;49.0;26.0;534.0;16.0;;
97;Bún riêu cua bò giò;(Crab noodle soup with beef and pork trotters);https://viendinhduong.vn/storage/app/uploads/public/2025/11/06/screenshot_2.webp;515.6;22.1;23.3;54.3;6.9;;;59.4;2.3;1.7;20.5;23.4;25.6;82.2;3.7;;
98;Bún riêu;(Crab noodle soup);https://viendinhduong.vn/storage/app/uploads/public/2025/11/06/screenshot_1.webp;334.5;9.7;8.1;55.8;79.5;;;96.4;2.3;0.7;819.0;4.9;39.3;889.6;36.4;;
99;Xôi chè;(Sticky rice with sweet soup);https://viendinhduong.vn/storage/app/uploads/public/2025/11/04/xoi_che_hp.webp;404.6;11.0;5.4;78.0;1.3;;;61.8;3.4;1.2;56.1;0.0;73.7;15.3;1.8;;
100;Xôi pate thịt;(Sticky rice with pâté and meat);https://viendinhduong.vn/storage/app/uploads/public/2025/11/04/xoi_pate_thit.webp;849.8;32.3;21.2;132.6;864.4;;;105.1;5.6;6.1;1160.5;85.2;93.8;673.1;30.0;;
101;Xôi pate;(Sticky rice with pate);https://viendinhduong.vn/storage/app/uploads/public/2025/11/04/xoi_pate.webp;771.6;22.2;17.0;132.5;489.7;;;66.7;4.5;3.7;929.8;70.0;94.0;53.8;4.6;;
102;Cơm suất 45k;(45.000 VNĐ Set meal);https://viendinhduong.vn/storage/app/uploads/public/2025/11/04/com_suat_45k6.webp;922.7;45.4;24.5;130.2;814.2;9567.1;51.7;290.9;7.1;6.4;1612.3;107.7;117.2;;;;
103;Cơm suất (thịt gà, lợn, trứng);(Set meal (chicken, pork belly, and egg));https://viendinhduong.vn/storage/app/uploads/public/2025/11/04/com_suatthit_ga_lon_trung.webp;893.5;48.4;17.4;135.8;245.0;;;171.6;7.0;6.6;738.5;93.0;73.4;1517.7;37.2;;
104;Cơm suất (tôm, ốc, thịt gà);(Set meal (shrimp, snail, and chicken));https://viendinhduong.vn/storage/app/uploads/public/2025/11/04/com_suattom_oc_thit_ga.webp;970.3;64.9;21.8;128.6;312.9;;;362.4;7.2;5.8;946.0;274.9;111.4;1774.4;19.1;;
105;Cơm suất (móng giò, giả cầy);(Pork trotters with fake dog meat sauce);https://viendinhduong.vn/storage/app/uploads/public/2025/10/31/com_suat_mong_gio_gia_cay.webp;661.5;20.0;5.8;132.3;7.2;;;107.3;3.5;4.0;496.8;13.1;50.0;84.2;23.9;;
106;Cơm suất (ba chỉ kho);(Set meal (braised pork belly));https://viendinhduong.vn/storage/app/uploads/public/2025/10/31/com_suat_ba_chi_kho.webp;849.3;34.2;25.8;120.2;322.9;;;410.2;7.5;4.5;762.8;89.6;43.9;3747.8;13.0;;
107;Cơm suất (ba chỉ rang);(Pork belly with rice);https://viendinhduong.vn/storage/app/uploads/public/2025/10/31/com_suat_ba_chi_rang.webp;877.1;36.1;22.3;133.0;169.2;;;631.9;17.4;4.7;915.9;75.9;71.2;1923.5;182.2;;
108;Cơm suất (sườn, đậu, chả lá lốt);(Rice with grilled pork chop, egg roll, and fried egg);https://viendinhduong.vn/storage/app/uploads/public/2025/10/31/com_suat_suon_dau_cha_la_lot.webp;664.6;33.3;20.6;86.6;284.1;;;317.6;5.9;6.0;3098.0;85.9;76.0;6565.5;64.2;;
109;Bún ốc;(Snail noodle soup);https://viendinhduong.vn/storage/app/uploads/public/2025/10/31/screenshot_56.webp;878.8;72.9;22.8;95.4;47.1;;;165.2;3.7;7.0;1994.7;34.9;37.9;542.6;43.2;;
110;Bún ngan Thanh Hà;(Thanh Ha duck noodle soup);https://viendinhduong.vn/storage/app/uploads/public/2025/10/31/screenshot_55.webp;707.0;28.1;30.1;81.1;62.0;705.1;32.4;156.8;5.5;2.6;773.3;4.7;33.4;;;;
111;Bún ngan;(Duck noodle soup);https://viendinhduong.vn/storage/app/uploads/public/2025/10/31/screenshot_54.webp;688.6;28.8;31.3;72.8;102.4;;;138.2;9.4;2.7;136.6;;20.9;1163.2;50.1;;
112;Bún đậu mắm tôm;(Vermicelli with fried tofu and shrimp paste);https://viendinhduong.vn/storage/app/uploads/public/2025/10/31/screenshot_53.webp;980.6;40.1;47.5;98.1;99.0;;;508.5;11.4;3.7;158.9;37.5;142.6;1029.9;118.3;;
113;Bún cá;(Fish noodle soup);https://viendinhduong.vn/storage/app/uploads/public/2025/10/31/screenshot_52.webp;370.5;29.5;9.2;42.5;125.2;;;205.4;2.5;0.7;726.0;4.4;23.9;1427.2;85.9;;
114;Nộm bò khô;(Dried beef salad);https://viendinhduong.vn/storage/app/uploads/public/2025/10/31/screenshot_51.webp;397.6;30.4;19.4;25.1;148.8;;;103.3;6.2;3.0;2522.9;133.3;122.4;1143.4;67.8;;
